"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",10,5,2,4,6,3,5,11,48
"2",13,31,37,31,27,33,28,14,216
"3",27,39,35,39,38,35,39,58,312
"4",33,45,42,46,43,40,44,17,312
"5",30,48,48,47,41,41,40,15,312
"6",4,5,10,5,6,11,5,0,48
"7",14,29,27,29,53,52,54,52,312
"8",118,33,31,33,18,16,18,43,312
"9",7,5,4,5,6,6,6,7,48
"10",25,40,34,40,32,27,32,20,252
"11",20,43,45,43,42,45,42,30,312
"12",52,45,29,45,39,23,38,39,312
"13",153,38,41,39,10,13,10,6,312
"14",11,10,11,10,8,9,8,3,72
"15",36,37,46,37,39,48,39,28,312
"16",6,4,6,4,7,10,8,1,48
"17",36,35,27,35,41,34,41,61,312
"18",25,43,47,43,43,48,43,18,312
"19",8,6,6,6,4,4,5,7,48
"20",17,23,21,23,33,31,33,25,208
"21",23,24,25,24,20,21,20,9,168
"22",7,6,0,6,9,2,9,7,48
"23",4,5,6,5,8,9,7,2,48
"24",25,49,38,49,43,32,43,31,312
"25",17,30,22,30,21,13,21,24,180
"26",23,33,27,33,48,43,48,55,312
"27",77,50,43,49,28,21,27,15,312
"28",27,23,23,23,20,20,20,10,168
"29",14,18,12,18,20,14,20,14,132
"30",4,6,8,6,6,8,5,3,48
"31",193,15,5,16,16,6,16,43,312
"32",24,47,50,47,39,42,38,23,312
"33",3,7,6,7,5,5,6,7,48
"34",8,14,17,14,12,16,13,12,108
"35",42,48,47,48,38,36,38,13,312
"36",36,46,39,46,39,33,39,32,312
"37",14,18,24,18,15,21,16,16,144
"38",22,37,41,37,45,49,45,34,312
"39",43,36,36,36,42,42,42,33,312
"40",40,40,37,40,43,39,43,28,312
"41",7,9,8,9,10,10,10,7,72
"42",28,46,48,46,41,43,41,17,312
"43",8,6,4,6,8,6,9,11,60
"44",17,35,42,34,26,33,26,9,224
"45",26,29,28,29,21,20,21,16,192
"46",25,42,42,42,42,43,43,31,312
"47",94,48,50,48,20,21,20,9,312
"48",18,46,53,45,39,46,39,24,312
"49",7,6,6,6,5,5,5,6,48
"50",5,6,10,6,3,7,3,6,48
"51",6,7,5,7,9,7,10,7,60
"52",4,8,4,7,12,8,11,4,60
"53",34,40,43,39,39,43,39,17,296
"54",26,15,18,15,9,12,9,2,108
"55",89,41,19,41,36,14,35,35,312
"56",18,41,49,41,44,52,45,20,312
"57",42,20,20,20,28,27,28,125,312
"58",10,12,7,12,10,4,9,6,72
"59",29,13,10,13,15,12,15,203,312
"60",30,36,40,36,42,46,42,38,312
